:START_ID(Point),:END_ID(Point),distance:double
"35.925657 -93.779457","35.926038 -93.778797",0.07294
"35.926162 -93.62722","35.92702 -93.626722",0.10535
"35.926269 -93.643807","35.926349 -93.643421",0.03585
"35.92636 -93.64135","35.92636 -93.641157",0.01737
"35.927132 -93.499558","35.927428 -93.499247",0.04319
"35.927631 -93.757007","35.928527 -93.757157",0.10048
"35.92768 -93.605768","35.927808 -93.605838",0.01556
"35.929251 -93.714918","35.930252 -93.71404",0.13644
"35.929707 -93.68448","35.92997 -93.684137",0.04251
"35.930582 -93.605908","35.931381 -93.606541",0.10549
"35.93217 -93.491259","35.932942 -93.49127",0.08579
"35.932218 -93.771459","35.932331 -93.771421",0.01301
"35.93365 -93.512341","35.93387 -93.512561",0.03146
"35.93519 -93.67402","35.935678 -93.673",0.1066
"35.935227 -93.658618","35.935308 -93.65923",0.0558
"35.935592 -93.485627","35.935828 -93.485707",0.0272
"35.935667 -93.729289","35.935952 -93.729118",0.03521
"35.936231 -93.485487","35.93667 -93.484827",0.07685
"35.937588 -93.478401","35.937609 -93.478159",0.0219
"35.938162 -93.677608","35.938618 -93.677689",0.05119
"35.9413 -93.53028","35.941418 -93.530028",0.02619
"35.941911 -93.490047","35.942539 -93.489747",0.07482
"35.942217 -93.686031","35.942512 -93.686251",0.03829
"35.942679 -93.527297","35.94277 -93.527308",0.01016
"35.942791 -93.650717","35.942839 -93.650808",0.00977
"35.943542 -93.7806","35.94402 -93.779838",0.08672
"35.94366 -93.507782","35.94527 -93.507519",0.18047
"35.943709 -93.505368","35.944093 -93.50469",0.07444
"35.943918 -93.729397","35.94543 -93.729649",0.16954
"35.94447 -93.600302","35.944642 -93.600098",0.0265
"35.944797 -93.779377","35.946439 -93.779178",0.18334
"35.946267 -93.467307","35.946267 -93.467071",0.02123
"35.946482 -93.504021","35.946648 -93.504161",0.02234
"35.947861 -93.477301","35.948077 -93.477654",0.03981
"35.948279 -93.477918","35.948472 -93.478041",0.02413
"35.948901 -93.73349","35.949502 -93.734037",0.08296
"35.9508 -93.703712","35.950908 -93.703739",0.01224
"35.950908 -93.703739","35.951009 -93.70383",0.01389
"35.951428 -93.511719","35.951761 -93.511231",0.05741
"35.951642 -93.510137","35.951852 -93.510872",0.07012
"35.952227 -93.47891","35.952329 -93.479007",0.0143
"35.95367 -93.673419","35.953847 -93.67366",0.02927
"35.953772 -93.527528","35.954298 -93.526579",0.10346
"35.953817 -93.694284","35.953842 -93.694297",0.00301
"35.954421 -93.751739","35.95463 -93.752898",0.10681
"35.954899 -93.646591","35.955001 -93.64642",0.01911
"35.955371 -93.525871","35.955478 -93.525812",0.01302
"35.955521 -93.703159","35.955671 -93.703562",0.0399
"35.955612 -93.67211","35.956481 -93.672239",0.09726
"35.95565 -93.53028","35.95566 -93.530559",0.02512
"35.955762 -93.74711","35.957302 -93.747652",0.17794
"35.956057 -93.745447","35.95617 -93.746348",0.08201
"35.95631 -93.744487","35.956786 -93.744347",0.05437
"35.956481 -93.672239","35.957179 -93.672121",0.07829
"35.957179 -93.672121","35.957849 -93.672389",0.07826
"35.958131 -93.521775","35.95815 -93.521729",0.00465
"35.958289 -93.463761","35.958348 -93.463981",0.02085
"35.959458 -93.458982","35.959512 -93.458697",0.02633
"35.959469 -93.772307","35.959711 -93.772269",0.02711
"35.95998 -93.650629","35.96058 -93.651049",0.07663
"35.960022 -93.441419","35.960081 -93.441268",0.01508
"35.960038 -93.44233","35.960118 -93.442717",0.03593
"35.960912 -93.771539","35.961272 -93.77111",0.05558
"35.961207 -93.455189","35.962822 -93.454068",0.20585
"35.961352 -93.48185","35.962489 -93.481281",0.13632
"35.962189 -93.795958","35.962398 -93.798528",0.23232
"35.962479 -93.741397","35.963058 -93.741611",0.06716
"35.962559 -93.697757","35.962972 -93.697897",0.04759
"35.962892 -93.549968","35.963551 -93.550761",0.10223
"35.96302 -93.454009","35.964522 -93.454191",0.16771
"35.963712 -93.771958","35.964329 -93.771647",0.07405
"35.964152 -93.797101","35.964303 -93.796328",0.07152
"35.96529 -93.715851","35.965542 -93.715487",0.04308
"35.965472 -93.658221","35.966008 -93.659327",0.11594
"35.96559 -93.476228","35.966309 -93.476191",0.07997
"35.965847 -93.598478","35.966781 -93.597657",0.12738
"35.96596 -93.792847","35.966143 -93.792546",0.03386
"35.966899 -93.775981","35.96699 -93.776008",0.0104
"35.967988 -93.716189","35.968058 -93.716667",0.04369
"35.968551 -93.77574","35.969388 -93.774898",0.11994
"35.97163 -93.516531","35.97185 -93.516617",0.02564
"35.972172 -93.689099","35.972312 -93.689458",0.03584
"35.972569 -93.453108","35.972741 -93.454052",0.08702
"35.97281 -93.455988","35.972832 -93.455677",0.02808
"35.972833 -93.735689","35.974339 -93.734799",0.18551
"35.973932 -93.702129","35.974259 -93.703079",0.09284
"35.974162 -93.602748","35.97427 -93.603569",0.0748
"35.975562 -93.773691","35.975798 -93.773562",0.02868
"35.975648 -93.796361","35.975852 -93.796672",0.036
"35.976008 -93.597947","35.97752 -93.59851",0.17548
"35.976748 -93.651881","35.97692 -93.651918",0.0194
"35.97877 -93.524191","35.97913 -93.524959",0.07981
"35.97899 -93.653538","35.979071 -93.652948",0.05381
"35.97906 -93.63214","35.979092 -93.632499",0.03248
"35.979929 -93.788609","35.980508 -93.788968",0.07199
"35.980192 -93.476561","35.980278 -93.477017",0.0421
"35.980669 -93.447529","35.980921 -93.447368",0.03152
"35.98134 -93.660297","35.981361 -93.659622",0.06074
"35.981442 -93.652707","35.981801 -93.650438",0.2079
"35.981978 -93.599267","35.982118 -93.599701",0.04201
"35.98201 -93.70972","35.983448 -93.70936",0.16304
"35.982879 -93.766218","35.982992 -93.766078",0.01778
"35.982969 -93.661279","35.984392 -93.661698",0.16256
"35.98311 -93.732401","35.983631 -93.73203",0.06682
"35.983561 -93.790208","35.983657 -93.790631",0.0395
"35.984188 -93.69383","35.984408 -93.693691",0.02746
"35.98524 -93.484548","35.985331 -93.484731",0.01931
"35.985551 -93.691121","35.985701 -93.69103",0.01857
"35.985712 -93.709259","35.987182 -93.709757",0.16938
"35.985862 -93.499757","35.987032 -93.499172",0.14025
"35.986747 -93.76044","35.986967 -93.760628",0.02972
"35.987858 -93.475681","35.988008 -93.474769",0.08368
"35.988571 -93.602748","35.988678 -93.603038",0.02866
"35.988587 -93.755881","35.988748 -93.756101",0.02667
"35.988861 -93.678161","35.989011 -93.678569",0.04029
"35.988898 -93.566919","35.989011 -93.567337",0.03963
"35.989118 -93.776641","35.989569 -93.7767",0.0504
"35.989762 -93.681482","35.989767 -93.680698",0.07049
