id:ID(Point),lat,lon
"36.134188 -93.562161",36.134188,-93.562161
"36.134188 -93.586757",36.134188,-93.586757
"36.134202 -93.679265",36.134202,-93.679265
"36.13421 -93.506661",36.13421 ,-93.506661
"36.13422 -93.562391",36.13422 ,-93.562391
"36.13422 -93.703138",36.13422 ,-93.703138
"36.13422 -93.712767",36.13422 ,-93.712767
"36.134231 -93.61573",36.134231, -93.61573
"36.134242 -93.659997",36.134242,-93.659997
"36.134271 -93.660428",36.134271,-93.660428
"36.13429 -93.661129",36.13429 ,-93.661129
"36.134322 -93.656837",36.134322,-93.656837
"36.134328 -93.508999",36.134328,-93.508999
"36.134371 -93.56332",36.134371, -93.56332
"36.134392 -93.657508",36.134392,-93.657508
"36.134408 -93.474909",36.134408,-93.474909
"36.134408 -93.654649",36.134408,-93.654649
"36.134419 -93.615821",36.134419,-93.615821
"36.13444 -93.643228",36.13444 ,-93.643228
"36.134462 -93.666687",36.134462,-93.666687
"36.134462 -93.782708",36.134462,-93.782708
"36.134467 -93.788389",36.134467,-93.788389
"36.134478 -93.473938",36.134478,-93.473938
"36.134521 -93.78811",36.134521, -93.78811
"36.134532 -93.554479",36.134532,-93.554479
"36.134548 -93.739101",36.134548,-93.739101
"36.134569 -93.506821",36.134569,-93.506821
"36.134569 -93.712509",36.134569,-93.712509
"36.13458 -93.657508",36.13458 ,-93.657508
"36.13458 -93.66762",36.13458 , -93.66762
"36.13458 -93.792418",36.13458 ,-93.792418
"36.134591 -93.565181",36.134591,-93.565181
"36.134601 -93.475311",36.134601,-93.475311
"36.134612 -93.436279",36.134612,-93.436279
"36.134617 -93.73975",36.134617, -93.73975
"36.134617 -93.792638",36.134617,-93.792638
"36.134623 -93.599189",36.134623,-93.599189
"36.134628 -93.474329",36.134628,-93.474329
"36.134639 -93.554071",36.134639,-93.554071
"36.134639 -93.738822",36.134639,-93.738822
"36.13465 -93.654198",36.13465 ,-93.654198
"36.13466 -93.566388",36.13466 ,-93.566388
"36.134682 -93.474077",36.134682,-93.474077
"36.134687 -93.567391",36.134687,-93.567391
"36.134687 -93.567531",36.134687,-93.567531
"36.134698 -93.668569",36.134698,-93.668569
"36.134709 -93.668752",36.134709,-93.668752
"36.134719 -93.442159",36.134719,-93.442159
"36.134719 -93.787971",36.134719,-93.787971
"36.13473 -93.680237",36.13473 ,-93.680237
"36.13473 -93.777741",36.13473 ,-93.777741
"36.134752 -93.740072",36.134752,-93.740072
"36.134762 -93.56738",36.134762, -93.56738
"36.134762 -93.678987",36.134762,-93.678987
"36.134768 -93.507068",36.134768,-93.507068
"36.134778 -93.570599",36.134778,-93.570599
"36.134785 -93.616079",36.134785,-93.616079
"36.1348 -93.47404",36.1348 -, -93.47404
"36.134826 -93.511682",36.134826,-93.511682
"36.134837 -93.571468",36.134837,-93.571468
"36.134841 -93.574781",36.134841,-93.574781
"36.134848 -93.566629",36.134848,-93.566629
"36.134861 -93.511678",36.134861,-93.511678
"36.134864 -93.550913",36.134864,-93.550913
"36.13487 -93.552891",36.13487 ,-93.552891
"36.13487 -93.680119",36.13487 ,-93.680119
"36.13488 -93.644247",36.13488 ,-93.644247
"36.13488 -93.740147",36.13488 ,-93.740147
"36.134891 -93.475461",36.134891,-93.475461
"36.134912 -93.5623",36.134912,2 -93.5623
"36.134918 -93.442019",36.134918,-93.442019
"36.134918 -93.704087",36.134918,-93.704087
"36.134929 -93.65379",36.134929, -93.65379
"36.134939 -93.47397",36.134939, -93.47397
"36.134939 -93.496307",36.134939,-93.496307
"36.134939 -93.508039",36.134939,-93.508039
"36.13495 -93.679878",36.13495 ,-93.679878
"36.134961 -93.533467",36.134961,-93.533467
"36.134961 -93.572471",36.134961,-93.572471
"36.134982 -93.50511",36.134982, -93.50511
"36.134982 -93.738597",36.134982,-93.738597
"36.134988 -93.5525",36.134988,8 -93.5525
"36.134998 -93.57473",36.134998, -93.57473
"36.135041 -93.566442",36.135041,-93.566442
"36.135055 -93.573186",36.135055,-93.573186
"36.135057 -93.47383",36.135057, -93.47383
"36.135068 -93.573297",36.135068,-93.573297
"36.135089 -93.587041",36.135089,-93.587041
"36.135122 -93.675339",36.135122,-93.675339
"36.135122 -93.70427",36.135122, -93.70427
"36.135132 -93.675618",36.135132,-93.675618
